P(topic 1),P(topic 2),P(topic 3)
0.9417941747730162,0.029130054999835092,0.029075770227148807
0.8852796164064093,0.05712792214659998,0.05759246144699079
0.9522264408280176,0.023871453344947828,0.023902105827034538
0.9239178295011397,0.03747774896880238,0.03860442153005794
0.9287686920949012,0.035625364237074096,0.03560594366802468
0.9018453492042193,0.04906625370509164,0.049088397090689
0.9282876135572727,0.03586581030334211,0.035846576139385224
0.9240138067981187,0.03787506208888667,0.03811113111299447
0.9057587361319703,0.04707150494010733,0.04716975892792235
0.9163534840845523,0.041795338776617,0.04185117713883066
0.14965893530653937,0.8071363052326296,0.0432047594608311
0.9151487821023698,0.042418649317955005,0.04243256857967528
0.9162739029044394,0.0418956319899941,0.04183046510556657
0.91131923510312,0.04446286769817849,0.04421789719870145
0.9136848662074287,0.043127503951165276,0.0431876298414059
0.9053924044600609,0.047295347415402714,0.047312248124536514
0.9270652535091641,0.036344061530802586,0.03659068496003329
0.8747354089291981,0.0638435724877823,0.06142101858301954
0.9206651845206435,0.03973571948611574,0.03959909599324078
0.9130564671900481,0.043461897668887015,0.043481635141065
0.897633132204298,0.0511596380718003,0.051207229723901744
0.9170476788190719,0.0416285171493599,0.04132380403156816
0.9155675615484595,0.0421849322056318,0.042247506245908534
0.903502229494808,0.048267390943438494,0.04823037956175348
0.8973687520133315,0.051307805014331784,0.05132344297233661
0.8957021156012844,0.05214414739790474,0.052153737000810815
0.8486198220163189,0.07563001689329217,0.07575016109038901
0.9311360000698609,0.034427096094385996,0.0344369038357532
0.9291305883760772,0.03536869929293495,0.03550071233098768
0.9102405424353766,0.04489669207451367,0.0448627654901099
0.895623412404141,0.05217006144951291,0.05220652614634605
0.8890446037149841,0.05546405712102094,0.055491339163994985
0.9120690243219276,0.04398316514810164,0.04394781052997072
0.9237426122531951,0.03818766445973225,0.03806972328707268
0.9600045693728934,0.019915380958474546,0.020080049668632107
0.2042026743020658,0.04666550220584364,0.7491318234920905
0.9195541611550546,0.04029441412761863,0.04015142471732655
0.9207755609159163,0.040187975700213804,0.039036463383869915
0.916470167184592,0.04175537139495554,0.04177446142045255
0.904788079672649,0.047596889566338625,0.04761503076101243
0.9333589959184534,0.033369026922962654,0.033271977158583994
0.915287438458425,0.042328433255941,0.042384128285634086
0.9238291636871029,0.03807926274824315,0.03809157356465385
0.9223618894056884,0.039178883963838965,0.03845922663047259
0.9325462182925994,0.03377974352987221,0.03367403817752835
0.9428395684514597,0.028766068957784833,0.028394362590755513
0.911305990510968,0.04430944280859992,0.04438456668043216
0.9023951432765241,0.048803806360929854,0.048801050362545964
0.9103011831371715,0.044994804010414155,0.044704012852414404
0.9035349669653511,0.04822174895980679,0.048243284074842165
0.9171779276851438,0.041343746104562255,0.04147832621029408
0.9305881957862565,0.0357458927539793,0.0336659114597642
0.9258807279244644,0.03705255920683464,0.03706671286870086
0.9303620877458529,0.03582726105643208,0.03381065119771482
0.923911100080968,0.03910570178605692,0.036983198132975015
0.8909417067099251,0.054525859680057014,0.054532433610017854
0.9438043559521345,0.027963484802812383,0.02823215924505318
0.891913966491171,0.054044392885367616,0.05404164062346129
0.8865028718367913,0.05674330955609505,0.056753818607113586
0.9397126395826532,0.030126596091781536,0.030160764325565404
0.8928292732873143,0.05372753269987099,0.053443194012814645
0.9396771000422233,0.030137135732209656,0.030185764225567065
0.8742895147858601,0.06321588199340071,0.062494603220739
0.9227798654870979,0.03862895255673605,0.03859118195616597
0.9159031876879404,0.04182686124517653,0.042269951066883055
0.9363288494246785,0.031806845793611926,0.03186430478170956
0.9442694699776135,0.027851111891416282,0.02787941813097027
0.9269001449465454,0.03651401291231208,0.03658584214114262
0.9121899386909077,0.043895339358187,0.04391472195090535
0.9239700378888164,0.037987274710163256,0.03804268740102021
0.9253711665473098,0.0374467092353377,0.037182124217352494
0.927392654325952,0.03630662702202623,0.03630071865202187
0.9364099029700264,0.03202449976371165,0.031565597266261985
0.9175122443491354,0.0412178169213243,0.04126993872954036
0.9021775064889597,0.0488928469472087,0.04892964656383161
0.8569666798737873,0.07143465473970464,0.07159866538650814
0.9211229828599059,0.03935395256551635,0.03952306457457768
0.908025015746878,0.045940749816348395,0.046034234436773666
0.8852305734940646,0.05772141752909968,0.05704800897683565
0.9105892940571625,0.04484000843944316,0.044570697503394326
0.9206299182037166,0.03963163830389998,0.039738443492383375
0.9120471122710566,0.04475868088352127,0.0431942068454221
0.8997505892959463,0.05023009459606807,0.05001931610798564
0.9227152774482308,0.0386320502547587,0.03865267229701059
0.9099845559078769,0.04510904763214908,0.044906396459974116
0.9501052669946553,0.02494083369014528,0.024953899315199455
0.8850042862414922,0.05745566198464064,0.05754005177386729
0.8733353579228974,0.06331745453559946,0.06334718754150313
0.8712720895299337,0.06456700721303232,0.06416090325703398
0.9134242355607652,0.04336665746737526,0.043209106971859396
0.9192891004225459,0.04041535758517716,0.04029554199227688
0.9212396823047001,0.03934756589921915,0.039412751796080864
0.8949694094431965,0.05249688964507745,0.052533700911726086
0.9100796020141895,0.0449821000558246,0.044938297929985875
0.9323266871889988,0.03387426788180591,0.033799044929195374
0.8961951051624343,0.052002355667080113,0.051802539170485606
0.9413577947202781,0.029275126003880027,0.02936707927584184
0.9346559437268926,0.033065080831763294,0.03227897544134402
0.8877371147578391,0.05610829609114057,0.056154589151020486
0.05242164523011349,0.9018603273872294,0.04571802738265711
0.9188156929112478,0.04058336246600694,0.04060094462274534
0.9088856087549068,0.04554352389058329,0.04557086735450988
0.45149733095571326,0.06042901584880563,0.488073653195481
0.89074493239284,0.05462076559351867,0.054634302013641244
0.9073528686376462,0.046662650947883445,0.045984480414470355
0.9213850406115327,0.03978483297901288,0.038830126409454414
0.9270710078469763,0.036858400682041194,0.03607059147098259
0.8882668761889712,0.05585814658965399,0.05587497722137488
0.9457073580232443,0.02716914177268977,0.02712350020406591
0.9444385313056596,0.0280220709778384,0.027539397716502073
0.9137288394769871,0.04319109974329575,0.043080060779717134
0.9172422749866057,0.04146885605748511,0.04128886895590913
0.8949366563626063,0.05282962640345295,0.052233717233940595
0.9453132063875512,0.027482979398738536,0.027203814213710202
0.9147184149852554,0.04291967196550241,0.042361913049242125
0.20654787212988973,0.08533911651170921,0.708113011358401
0.12081743803564053,0.10327470362503204,0.7759078583393275
0.3467903509433347,0.5827124324927405,0.0704972165639248
0.35541028229838584,0.09369465807888594,0.5508950596227283
0.3892365882043479,0.08463692072785961,0.5261264910677925
0.21370024873799595,0.10381278557674549,0.6824869656852586
0.8422303927777163,0.07888164288677005,0.07888796433551375
0.9196318867819682,0.04016034426499088,0.04020776895304079
0.895880617640927,0.052028471211771864,0.05209091114730121
0.9302711697966347,0.03489684827314716,0.034831981930218026
0.9384123509863609,0.030779466060429424,0.030808182953209782
0.922070348193342,0.03894616561946453,0.03898348618719342
0.9021021603009901,0.04902060495713603,0.04887723474187385
0.9197277071292607,0.04016610548400266,0.040106187386736596
0.9074504914809223,0.046259579281037556,0.0462899292380402
0.5306487894718128,0.42923277316191827,0.04011843736626912
0.11566723101444755,0.0973063894726402,0.7870263795129122
0.9158861436671527,0.04200958825500921,0.04210426807783806
