P(topic 1),P(topic 2)
0.8918532237294573,0.10814677627054274
0.9221150247547204,0.0778849752452796
0.95123145581995,0.048768544180050145
0.9427229831715777,0.057277016828422365
0.9407519107870306,0.059248089212969424
0.41165042623502973,0.5883495737649702
0.9323815324847698,0.06761846751523021
0.932430198188308,0.06756980181169195
0.930466340048887,0.06953365995111303
0.9219824594132104,0.07801754058678963
0.9116997524262525,0.08830024757374753
0.9430810938595313,0.05691890614046881
0.9318925017484219,0.0681074982515782
0.9376837919552798,0.06231620804472022
0.9291601231482645,0.07083987685173554
0.9367128620663944,0.06328713793360569
0.9128092296029581,0.08719077039704186
0.9230099004878632,0.07699009951213677
0.9307259028018643,0.0692740971981358
0.9475007447622584,0.052499255237741606
0.9284146045669246,0.07158539543307539
0.9082049946561902,0.09179500534380992
0.9363612256084123,0.06363877439158766
0.9555627712742497,0.04443722872575034
0.9342975717321125,0.06570242826788751
0.9076813381488388,0.09231866185116111
0.9082045937616589,0.09179540623834112
0.9244805806408054,0.07551941935919454
0.9244454542223005,0.07555454577769959
0.9056262583019054,0.09437374169809463
0.9209135790879178,0.0790864209120822
0.938211875658817,0.06178812434118299
0.9233782806183383,0.07662171938166179
0.9079653371880226,0.09203466281197734
0.9287521528396077,0.07124784716039233
0.9594933649493044,0.040506635050695634
0.9346528707207379,0.06534712927926209
0.9150479729881086,0.08495202701189143
0.9137863387220555,0.08621366127794457
0.9213649570907164,0.07863504290928365
0.9206597723938704,0.07934022760612959
0.9275653802125107,0.07243461978748933
0.9184940368640407,0.0815059631359593
0.9387094194065623,0.06129058059343769
0.9144602363012209,0.0855397636987791
0.9145327735292033,0.08546722647079666
0.9161303909667349,0.08386960903326517
0.9184176396465089,0.08158236035349113
0.8946610027550791,0.10533899724492098
0.9129298961605338,0.08707010383946617
0.924143768616621,0.07585623138337906
0.9362982852718176,0.06370171472818247
0.9478621399983913,0.05213786000160863
0.9484557321981127,0.0515442678018872
0.9380832169886425,0.06191678301135745
0.6315235400506662,0.36847645994933376
0.922258465509797,0.07774153449020312
0.9613819721925652,0.03861802780743482
0.8987689757042412,0.10123102429575874
0.9416527355422417,0.05834726445775814
0.9166708592927907,0.08332914070720931
0.9115284146687592,0.08847158533124076
0.9434009109557113,0.056599089044288585
0.9304696646457492,0.06953033535425088
0.9257862878539111,0.07421371214608878
0.9243883035042177,0.0756116964957823
0.9273164075815359,0.07268359241846416
0.9066910696663778,0.09330893033362213
0.9274571118051872,0.07254288819481279
0.9320754080901889,0.06792459190981108
0.9520878083954187,0.04791219160458129
0.9201965769387899,0.07980342306121009
0.9288123863221052,0.07118761367789485
0.9396110968565508,0.060388903143449364
0.9314700367975981,0.06852996320240184
0.9273868357852255,0.0726131642147745
0.9149631387695355,0.08503686123046458
0.934571041558693,0.06542895844130697
0.9175366227068962,0.08246337729310381
0.9468322757876863,0.05316772421231374
0.954984763037123,0.04501523696287693
0.9548289315400275,0.04517106845997254
0.9047139886721914,0.09528601132780849
0.9365752011865027,0.06342479881349719
