P(topic 1),P(topic 2),P(topic 3),P(topic 4)
0.4224911544440577,0.4776738976765274,0.04992490596360299,0.04991004191581174
0.06335523420317984,0.8099485002236559,0.06335695339000795,0.06333931218315621
0.06388278641740248,0.8083550704497544,0.06387926749353771,0.06388287563930536
0.06872322597964686,0.7938338092948893,0.0687235008010373,0.06871946392442636
0.03273161397085589,0.9018396124648943,0.03271630390641854,0.03271246965783128
0.04022339342693533,0.8793411344901788,0.04022480780930583,0.04021066427357992
0.0818058826858703,0.7545830578623939,0.08180599022294541,0.08180506922879047
0.0223410704689311,0.9329802774200664,0.022351091276888068,0.022327560834114447
0.0833053483805458,0.7500862253192775,0.08330558923633974,0.08330283706383694
0.08204528401703523,0.7538648656708478,0.0820455431608483,0.08204430715126858
0.03878554897445893,0.8832679037262601,0.03913639606575479,0.0388101512335261
0.06820778504320059,0.7951516176389769,0.06820865674752809,0.06843194057029445
0.0967491526895385,0.7097524671661183,0.09674914636178496,0.09674923378255838
0.028307589466295295,0.9149264447813931,0.028309106026388146,0.028456859725923468
0.020958288377323633,0.9374718569004296,0.02077180894325792,0.02079804577898894
0.03500359688327371,0.895002180770899,0.03500621170628791,0.03498801063953939
0.05737968920876292,0.8241578738881031,0.06109367231160092,0.05736876459153301
0.04383366600843567,0.8685008325949778,0.04383382160944117,0.04383167978714532
0.058894078155701406,0.8233202631604173,0.05889444066739593,0.058891218016485426
0.02009794533642617,0.9397143867318147,0.020100075066988757,0.020087592864770517
0.041556958368140835,0.8753389423100999,0.04155490641791249,0.041549192903846774
0.029427619143386874,0.9116841284241441,0.029465419398391816,0.02942283303407697
0.08063237129640871,0.7581031940732467,0.08063238162006614,0.08063205301027848
0.11513125303831931,0.654607020662902,0.11513123224618783,0.1151304940525908
0.06632288951441477,0.8010465260781674,0.06632458016510295,0.0663060042423149
0.04242899397348687,0.8727001789531676,0.04242970640919422,0.04244112066415112
0.04123376049836391,0.8763050847654581,0.041234469544348014,0.04122668519183002
0.0995047229935932,0.7014884554407613,0.09950511391121009,0.09950170765443543
0.06559122452169937,0.8032281799637901,0.0655916824712105,0.06558891304329993
0.06720594360535241,0.7983857786723493,0.06720633966780562,0.06720193805449289
0.061004448279164736,0.8169963345078866,0.061005661112907464,0.06099355610004134
0.07311423566517729,0.7806638693668725,0.07311525399387327,0.07310664097407693
0.06143185233676007,0.8157082218489083,0.06143201490080147,0.06142791091353009
0.04635517959540947,0.8609410876346847,0.046355901155157794,0.04634783161474782
0.023928984540761672,0.9282051286212745,0.02392995383344471,0.023935933004519103
0.07514859496742145,0.7745545305304748,0.07514860524256434,0.07514826925953948
0.09122744544857761,0.7263273490346058,0.09122858153552485,0.09121662398129181
0.051022670383597646,0.32171955223263377,0.05102376612359676,0.5762340112601718
0.11154464168559171,0.6653661670527976,0.11154460875348231,0.11154458250812836
0.03743389362763925,0.8877013876549463,0.03743330786740142,0.03743141085001301
0.06277591980882002,0.30748385421646723,0.06277643797052773,0.566963788004185
0.06854500251348698,0.39124551828420595,0.06854581490476983,0.4716636642975372
0.06389832317339299,0.8083054700036298,0.06389836995364719,0.06389783686932997
0.05742114232785223,0.8277232651369202,0.057421609733791325,0.057433982801436176
0.06614807315477868,0.6391800856372397,0.06621360077572075,0.22845824043226087
0.11154464168559171,0.6653661670527976,0.11154460875348231,0.11154458250812836
0.037752587511959784,0.8867487928093131,0.037753218706000374,0.03774540097272679
0.03203668638725428,0.6318851735880554,0.032039912253653886,0.3040382277710364
0.05569889333061955,0.33718623086525396,0.0556993918979896,0.551415483906137
0.1035983636593995,0.6892043515088945,0.10359840760013568,0.10359887723157024
0.038363650704449394,0.4980275935510262,0.03855499533180339,0.42505376041272097
0.08941226555437826,0.7317634463307267,0.08941237716485419,0.08941191095004085
0.05994817974364197,0.82013068936715,0.05994780732896158,0.0599733235602466
0.037755635195280676,0.13558960987472088,0.03775584039051615,0.7888989145394824
0.09796389008354202,0.7061094226773811,0.09796355102375172,0.09796313621532528
0.05477501117095736,0.835679695441772,0.05477564423143745,0.05476964915583318
0.03306826869161225,0.9008012492418225,0.03306931801399807,0.03306116405256717
0.5965154386424792,0.33917823569727207,0.03215490113019907,0.032151424530049676
0.07657173953434455,0.7702862180947867,0.07657459105098037,0.07656745131988842
0.07636128218387339,0.7709193908849937,0.07636181312107453,0.07635751381005826
0.08582495141851063,0.23544475263593884,0.5928996947867795,0.0858306011587709
0.05590961350596174,0.18213517998379536,0.05590947286205619,0.7060457336481867
0.0400433462461243,0.8798833351894688,0.040044284360965625,0.040029034203441394
0.02541891176117771,0.9238290202381558,0.025384934395290416,0.02536713360537611
0.022197528083062985,0.9334143065193528,0.022198246902011155,0.022189918495573047
0.09947098681019487,0.7015894324299986,0.09947125040310273,0.09946833035670392
0.027804164026520705,0.5992553555847747,0.3451328532695607,0.027807627119143793
0.04773375647469407,0.8568026426305912,0.04773429433695209,0.047729306557762724
0.09650758469181418,0.7104820157630922,0.09650811044713872,0.09650228909795497
0.0697205943467005,0.7908442478460833,0.069721687294879,0.06971347051233713
0.04910462044714978,0.8525444560257837,0.04910527462228161,0.049245648904785035
0.09024383604117779,0.7292693723953534,0.09024378095488811,0.09024301060858071
0.08786799620142695,0.7363964711082241,0.08786779503072159,0.08786773765962749
0.04509538152015385,0.8646758669558328,0.04509573122946144,0.045133020294551976
0.03177133093133513,0.9046948846072576,0.03177232942916219,0.031761455032245214
0.08110203536761423,0.756696899094737,0.08110237229643932,0.08109869324120941
0.11190525513372052,0.6642840657302608,0.11190522371574546,0.11190545542027304
0.022826524528275847,0.9314837042103099,0.02286134897616435,0.022828422285249728
0.036170809281389556,0.8915011078541288,0.03617235886089489,0.03615572400358683
0.11466879238794016,0.6559939954844989,0.11466882639329157,0.1146683857342694
0.06040836513157115,0.4421727380627027,0.43702302535385446,0.060395871451871745
0.052050765281510245,0.8436908319246644,0.052048784719025694,0.05220961807479969
0.11704382055601172,0.19447088272144858,0.5714427434699867,0.11704255325255296
0.5775279611491028,0.2394572882292611,0.09151021951591527,0.09150453110572082
0.019325879635812605,0.9420274988480839,0.019326614695571214,0.019320006820532313
0.024406461068295325,0.9267719958606234,0.024434467123484124,0.024387075947597068
0.0189390786718092,0.8215248176272479,0.018973220811404515,0.14056288288953817
0.20459061052458558,0.6542104363604387,0.07060627923808578,0.07059267387688996
0.07731368573090842,0.7680626505517438,0.07731454058695356,0.07730912313039406
0.033038823105692616,0.9009053190033471,0.0330326069930867,0.033023250897873474
0.042321303248492106,0.873961820811074,0.0418640754632877,0.041852800477146124
0.07055390957212387,0.7883400277560021,0.0705539980529054,0.07055206461896855
0.06081368968840615,0.8175646162893289,0.0608142573707859,0.06080743665147904
0.08673433656636326,0.7397970296421883,0.08673434224342647,0.0867342915480219
0.05329272942865019,0.8399936109021097,0.053293318416352535,0.05342034125288763
0.10163921815685341,0.695089735968233,0.10164004185085933,0.10163100402405419
0.033091065367046826,0.9007281438982658,0.03309179776586095,0.0330889929688264
0.10486296078882244,0.3039223419591708,0.4863578381993011,0.10485685905270566
0.03734062165740104,0.8879804339752325,0.03734096011660147,0.037337984250765066
0.08448022758511022,0.5031402572314584,0.08448058481580578,0.32789893036762563
0.03915239015585305,0.8825685886261082,0.03915480754190632,0.03912421367613234
0.06517543912178075,0.8044742338385744,0.06517552767763682,0.06517479936200794
0.05392077312611182,0.8382435426815158,0.05392122792119126,0.053914456271181146
0.04068379124539562,0.8779576359991539,0.040685057785060645,0.04067351497038982
0.050229990248996215,0.8492126926648915,0.050231415382933485,0.050325901703178695
0.03264680763714355,0.9020662869375965,0.03264738242846488,0.03263952299679513
0.08952112534278997,0.7314372833034992,0.08952118274843193,0.0895204086052789
0.07864540226022351,0.7640667081758633,0.0786457945567263,0.07864209500718689
0.11553698430337246,0.6533893659341798,0.11553702181762046,0.11553662794482719
0.09122445737892056,0.4509050268593341,0.09122530538177998,0.36664521037996545
0.030603812191164814,0.9080326138267487,0.030770556316563582,0.03059301766552298
0.1250007191258215,0.6249978230368171,0.1250006678001802,0.12500079003718118
0.01569787974302723,0.9528964692058537,0.015699206725104407,0.015706444326014552
0.10003052159564546,0.6999099473897227,0.10003070026322876,0.10002883075140315
0.039514649205654895,0.8814651523650826,0.03951564061234275,0.03950455781691973
0.09623350983410722,0.7112993567774394,0.09623352137722085,0.09623361201123247
0.07166126558212942,0.7850163969325902,0.07166130301303475,0.07166103447224569
0.022012896790439603,0.9339643588544898,0.02201355533632273,0.022009189018747852
