P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6)
0.018527821592510343,0.018529985273545744,0.9073344854750609,0.018527855621720532,0.018551595436807882,0.018528256600354502
0.03796009865099658,0.03838702146393259,0.8097641584174882,0.0379601103119291,0.037968382085459204,0.03796022907019449
0.02205804916324654,0.02211178824126762,0.8896545264463496,0.022058081948274872,0.022058984029910488,0.022058570170950975
0.023394568114557576,0.02339412585054057,0.8830045727982992,0.0234164974881741,0.02339551085053931,0.023394724897889147
0.031993265883284175,0.031993836992504375,0.8400259496348546,0.03199849839520999,0.031994939460176924,0.03199350963397002
0.026038385175344504,0.02608102072066178,0.869759818872736,0.02603841441422352,0.02604370677305829,0.026038654043975942
0.02213218324614447,0.022132832094049093,0.8892901463755926,0.022180093202378542,0.022132271840429426,0.022132473241405753
0.030007718816254667,0.4284895493898895,0.4514780929278422,0.03000780741696939,0.030008033338190254,0.030008798110854048
0.02377649699629382,0.02379223122972398,0.8810983971775804,0.02377910178113481,0.023776937585192157,0.02377683523007487
0.023754871743728385,0.023772107674014425,0.8812032071767409,0.023759274492479898,0.02375556220760002,0.02375497670543621
0.02258166038809044,0.022580362151254304,0.35895941746427124,0.5507145947020553,0.022581772037011984,0.02258219325731677
0.010582557551845282,0.01062900713943696,0.9470392972004879,0.010582729260073998,0.010583559010515888,0.010582849837639987
0.02135801929165863,0.021369557319267825,0.8931980997694675,0.02135802373533182,0.021358070349813043,0.021358229534461242
0.023463332321852232,0.023482766457466962,0.8826602225635358,0.02346671682039621,0.02346340805385468,0.02346355378289412
0.02783204129969185,0.027834049567584406,0.8608362241139842,0.02783353356497499,0.02783206213216054,0.027832089321604126
0.021468621944686305,0.0214804307226118,0.8926021384733177,0.021470292750431937,0.021468921790791882,0.021509594318160345
0.019474669531024766,0.01947588929172813,0.9026247071116839,0.01947500674253042,0.019474720164385437,0.019475007158647563
0.024595515187272654,0.02464835661644885,0.8764684201511711,0.024595535993831026,0.025096416246675936,0.02459575580460027
0.013993317033592018,0.01399830642086111,0.9300663786807188,0.013978174045231726,0.013985165545938547,0.013978658273657726
0.025161372671844134,0.025170456722982577,0.8741865120961112,0.025160667728798814,0.025160407277367774,0.025160583502895403
0.022426177794427026,0.022520460648807444,0.8878089826504967,0.02241519774536671,0.0224145056681371,0.022414675492764935
0.02142210834065358,0.021591524898503363,0.8927573598583558,0.02141169160934067,0.021408599489498747,0.021408715803647962
0.01756721979302805,0.017572360439890338,0.9121218211699608,0.017603414876589348,0.017567370846483472,0.017567812874048187
0.017639642508181095,0.017741345173353008,0.9116976672826019,0.017641146423932653,0.017639853228003353,0.017640345383928273
0.025008960591870747,0.025016613282346632,0.8749341193095563,0.025020872262903778,0.02500941268897378,0.025010021864348787
0.039231957977124345,0.039226482163337524,0.4055210677951848,0.43757049505233,0.03922479621309747,0.03922520079892594
0.02546456732957506,0.025501945363821683,0.872638684358537,0.025465482074681238,0.025464623735181262,0.025464697138203887
0.011049356728403098,0.011054700679040486,0.9447520478511613,0.011047695046391985,0.01104792398218713,0.011048275712815947
0.023276054429749584,0.023281736352854684,0.8836133291904045,0.023276127439451795,0.023276483994278493,0.023276268593260978
0.017265142244075,0.017359011995523494,0.47975759640262317,0.0172546548844328,0.45111040605698494,0.01725318841636079
0.02260719020981094,0.24627732871844024,0.6632929257503994,0.022607213476345533,0.022607967271007067,0.022607374573996773
0.012365073534657219,0.012390095707603356,0.9381421967495708,0.012371722787357218,0.012365413323345072,0.012365497897466295
0.019664118411199943,0.019669118737801652,0.9016740793357698,0.019664133432196248,0.019664183772036374,0.019664366310995905
0.014859292397434247,0.014875620717452208,0.9256915707890884,0.014856113566064486,0.014861063192242011,0.014856339337718683
0.021559304685633024,0.02156890226818742,0.8921707224440378,0.021583388735672976,0.021558682666852125,0.021558999199616593
0.019749328719230946,0.019751034695098393,0.9012514690725197,0.01974943813226872,0.01974930237489844,0.019749427005983748
0.023479065626725738,0.023494090359176597,0.8825866492193695,0.02348140902572154,0.02347935512298457,0.023479430646022134
0.02676809139725946,0.026776872906017567,0.8661470521593394,0.026770093181750266,0.026769747564494746,0.026768142791138573
0.013023114633758466,0.013036483104174346,0.9348234758404339,0.013070087213356119,0.013023524360691058,0.013023314847585982
0.018534791028310103,0.01853671350331094,0.9073148629829891,0.018540863139498348,0.018537626136110902,0.01853514320978044
0.01099047200964866,0.010995627643320486,0.9450466845469122,0.010988678444956152,0.010989211423177086,0.010989325931985395
0.021397079439559,0.021408555408201697,0.8930021276617555,0.021398039917663113,0.02139705167257073,0.021397145900250027
0.0206387162837736,0.020638329837183108,0.8968059498267391,0.02063910775277202,0.020638911061412104,0.020638985238120182
0.02241463229805429,0.022410376805717943,0.887971223731509,0.0224011080182797,0.02240142884349608,0.022401230302942866
0.028204534989647336,0.028206642891563286,0.8589714214353351,0.028208277176438847,0.028204552807573707,0.028204570699441708
0.023296050159760027,0.023314379948296757,0.8834982952914691,0.023298959029467606,0.023296106265308005,0.0232962093056986
0.013488335012801249,0.013489148632941834,0.9325570774016677,0.013488333606325419,0.013488383008025231,0.013488722338238722
0.026286466956087225,0.02629434186445965,0.8685564303314846,0.02628827396839516,0.026287962177063796,0.026286524702509667
0.019565737417102855,0.019566043185111532,0.9021713985256922,0.01956554051762028,0.019565580710120278,0.019565699644352796
0.011521474131748845,0.01171473117916048,0.9420972238707069,0.01152139535187489,0.011623552183610723,0.011521623282898248
