P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8)
0.04509646594929052,0.045096464868208605,0.04514267824676563,0.3097802277417634,0.045096465621250824,0.4195944254900206,0.04509646570909957,0.045096806373600876
0.019274378283348142,0.019274375465111526,0.019279849364643938,0.019274378638582,0.01927437743127516,0.8650738857038868,0.019274377666045558,0.019274377447106875
0.027270029095075834,0.027270025912604655,0.027278815623576612,0.027270029496698836,0.027270028131540388,0.5103611240733399,0.027270028389042255,0.32600991927812145
0.036200000142994876,0.03619999993814369,0.036290898060975706,0.036200000168880316,0.036200000081049025,0.746509020079931,0.036200000097639566,0.0362000814303857
0.045148674326867734,0.04514867297414668,0.04519306186968674,0.045148674497645,0.04514867391776924,0.4209590545679433,0.04514867402726715,0.30810451381867426
0.01780773364110738,0.017807728765101435,0.017816244754932504,0.017807734256639885,0.017807894018815305,0.6350936986374398,0.01780773255826548,0.2580512333676982
0.3642960154109544,0.0369616084073536,0.03706114002796245,0.03696160921711521,0.03696160890874412,0.41383463449524027,0.03696160896752814,0.036961774565101954
0.02437672097132001,0.024376718968547144,0.02440218081858863,0.024376721224955954,0.024376720365980837,0.8293374813773431,0.024376720528653386,0.02437673574461093
0.03750604765369681,0.03750604757481071,0.03752866906131609,0.037506047663667864,0.03750604762985174,0.7374350120017963,0.03750604763622517,0.03750608077863537
0.03680659396222975,0.03680659389284797,0.03682549833339296,0.03680659397113366,0.03680659394114017,0.7423348954937538,0.03680659394677385,0.03680663645872785
0.05838971335473316,0.058389713095047084,0.5912321229639929,0.0583897133877863,0.05838971327557099,0.05842942793925401,0.05838971329679224,0.05838988268682344
0.05230129485094833,0.05230129451062315,0.05244165285523438,0.05230129489425942,0.052301294747869646,0.6337501553274241,0.052301294775562494,0.05230171803807855
0.04983102446801415,0.04983102443233299,0.6511586144032836,0.0498310244736735,0.04983102445483126,0.04985515803187063,0.049831024458379856,0.04983110527761397
0.028183208414968717,0.02818320706654247,0.0281915413632646,0.028183208585061775,0.1619784386561137,0.6689139551059747,0.028183208116073402,0.028183232692000525
0.012345014735007563,0.012345013341807227,0.012347656804756245,0.012345014918680928,0.01234501431365315,0.6491022980247312,0.27682497360707164,0.012345014254292054
0.03209051892342674,0.032090518518162324,0.032121415092394225,0.03209051897412539,0.03209051880068647,0.7753354464445104,0.03209051883449265,0.03209054441220193
0.044649699955161035,0.04464969988676012,0.04469224252561014,0.04464969996333084,0.04464969993533228,0.6874093094396436,0.044649699939493435,0.04464994835466841
0.034058783223639755,0.03405878315360839,0.03408273541302949,0.03405878323247942,0.03405878320225165,0.7615645278948951,0.0340587832079279,0.03405882067216832
0.03616680791409505,0.03616680647332219,0.111081535299092,0.036166808096001056,0.03616680747844523,0.6719175846647462,0.03616680759493385,0.03616684247936443
0.03146311193019039,0.27576945343582077,0.031977157543077214,0.03146311222557112,0.03146311147676434,0.5349377850392228,0.031463111596585436,0.03146315675276785
0.02951320475636425,0.029513204525657023,0.525275047880599,0.029513204755045805,0.02951320466733822,0.2976456971658286,0.029513204683863318,0.02951323156530371
0.03010841609239949,0.03010841497808425,0.030126697095398988,0.030108416233227676,0.03010841575580262,0.789222772962995,0.030108415845561523,0.030108451036530315
0.023379563589677015,0.023379560460660163,0.023433923532588868,0.023379563984205695,0.02337956264955048,0.8362886916070681,0.02337956289592882,0.023379571280320838
0.009047999006129714,0.009047986312492755,0.009050094434265375,0.009048000642914025,0.00904799512893609,0.9366619282375166,0.009047996133140652,0.00904800010460466
0.027269405777805518,0.027269402716497824,0.027278670734247827,0.027269406163988038,0.027269404852439158,0.8091048870116498,0.027269405099659524,0.027269417643712365
0.03638417137497894,0.036384170449984425,0.03643200948766067,0.03638417149169553,0.03638417109539999,0.7452629099349719,0.03638417117015547,0.03638422499515296
0.03578888083133926,0.035788880619042604,0.035798891138903666,0.035788880858164604,0.03578888077030438,0.7494677485597382,0.03578888078511109,0.03578895643739625
0.019262644523699194,0.01926264412419881,0.019275757724136366,0.019262644574115827,0.019262644403262037,0.8651483758246453,0.01926264443552994,0.019262644390412607
0.020390024369177986,0.020390023328785818,0.020394812746408485,0.020390024499116595,0.020390024054650156,0.8572650428412116,0.020390024147557077,0.020390024013092315
0.023647556079525064,0.023647554002268704,0.023649246709827355,0.02364755634494773,0.023647555446972397,0.8344654065116107,0.02364755561447435,0.02364756929037364
0.026620270961421662,0.02662026901532334,0.026629540064150792,0.026620271207011062,0.026620270373028287,0.8136488175831541,0.026620270530665725,0.026620290265244963
0.030423726948802216,0.030423726574256366,0.030440033964489664,0.03042372700604788,0.030423726835026126,0.7870175746340393,0.030423726865288513,0.030423757172049815
0.0567077945610678,0.056707794549725826,0.6029944144633208,0.05670779456263929,0.056707794557359,0.05675858560382783,0.05670779456115516,0.056708027140904414
0.017374906788393624,0.017374904479060118,0.017376816978874818,0.017374907065748794,0.017374906079737493,0.8783737378629246,0.017374906265343406,0.01737491447991713
0.05625082274238538,0.05625082273819398,0.6062208558440118,0.05625082274281298,0.05625082274134351,0.056273958444559936,0.056250822741720816,0.056251072004971606
0.05525011297188514,0.05525011296912981,0.6132184179261462,0.055250112972237954,0.055250112971297255,0.05528061703886455,0.055250112971270526,0.055250400179168636
